threshold,accuracy,lower_ci,upper_ci,baseline,samples
0.0,0.8288266666666667,0.8273687777777778,0.830427,0.8288266666666667,225000
0.049999999999999996,0.828819819459445,0.8271929766079532,0.8302872114884595,0.8288266666666667,224991
0.09999999999999999,0.8288415276734062,0.8272451987851893,0.8303090163679293,0.8288266666666667,224891
0.15,0.8290347469683927,0.8275669986308151,0.8305516655442622,0.8288266666666667,224221
0.19999999999999998,0.8299272103897969,0.8283653975605159,0.831444034572821,0.8288266666666667,222834
0.24999999999999997,0.8331054159530051,0.8316418229150102,0.8346415866684234,0.8288266666666667,220109
0.3,0.8378941092629941,0.8363755455464313,0.8394825401852879,0.8288266666666667,214693
0.35,0.8436303033459431,0.8421010269351502,0.845193077065115,0.8288266666666667,211211
0.39999999999999997,0.8481895018433379,0.8466600587758703,0.8498106323919287,0.8288266666666667,208589
0.44999999999999996,0.853854926895647,0.8522527251990973,0.8552989030675928,0.8288266666666667,204297
0.49999999999999994,0.8639276541205186,0.8623136843395273,0.8654650295909354,0.8288266666666667,195837
0.5499999999999999,0.8782081929805499,0.8766971368032164,0.8796590785613387,0.8288266666666667,184060
0.6,0.8933839096683134,0.8918488296871324,0.8948485650435192,0.8288266666666667,170040
0.6499999999999999,0.9065465783208707,0.9050430008322742,0.9080825757917895,0.8288266666666667,154997
0.7,0.9160965866533509,0.9145841209829868,0.9175234511538325,0.8288266666666667,140185
0.7499999999999999,0.9220781262280908,0.9205376090544682,0.923540635070345,0.8288266666666667,127230
0.7999999999999999,0.9258497119992964,0.9242749417403157,0.9273974409708482,0.8288266666666667,113715
0.85,0.9254983760512806,0.923860140392986,0.9270606528178605,0.8288266666666667,104991
0.8999999999999999,0.9253948942759183,0.9238464864212674,0.927033793498698,0.8288266666666667,99457
0.95,0.9254924063245403,0.9237409293571794,0.9272038768506125,0.8288266666666667,99359
